Ticket_ID,Created_Date,Ticket_Type,Priority,Status,Channel,Product,Category,Assigned_Agent,First_Response_Time_Hours,Resolution_Time_Hours,CSAT_Score
TKT-00077,2024-08-31 17:10:00,Billing Question,Critical,Resolved,Chat,Product A,UI/UX,Agent_4,2.01,16.59,3.0
TKT-00078,2024-05-15 16:55:00,General Inquiry,High,Open,Phone,Product E,Documentation,Agent_5,3.02,21.7,
TKT-00079,2024-11-06 13:13:00,General Inquiry,Medium,Closed,Web Portal,Product A,Documentation,Agent_10,7.0,69.58,5.0
TKT-00080,2024-10-03 23:44:00,General Inquiry,Critical,Open,Email,Product D,Performance,Agent_14,0.68,16.91,
TKT-00081,2024-04-12 22:19:00,Feature Request,Low,Open,Email,Product C,UI/UX,Agent_14,63.0,133.73,
TKT-00082,2024-07-23 21:41:00,Account Access,Low,Resolved,Chat,Product B,Payment,Agent_7,36.1,115.64,5.0
TKT-00083,2024-07-10 14:57:00,Feature Request,Low,In Progress,Web Portal,Product C,Integration,Agent_1,49.04,125.73,
TKT-00084,2024-09-21 14:07:00,Feature Request,Low,Open,Web Portal,Product C,Integration,Agent_6,36.67,109.37,
TKT-00085,2024-05-06 07:04:00,Feature Request,High,Open,Chat,Product B,Payment,Agent_1,10.65,17.91,
TKT-00086,2024-06-22 00:37:00,Feature Request,Medium,In Progress,Email,Product A,Performance,Agent_2,20.17,83.15,
TKT-00087,2024-10-10 07:37:00,Technical Issue,Low,Pending,Chat,Product A,UI/UX,Agent_11,49.44,85.96,
TKT-00088,2024-04-22 00:04:00,General Inquiry,Low,In Progress,Web Portal,Product E,Integration,Agent_14,39.2,142.53,
TKT-00089,2024-12-28 20:03:00,General Inquiry,Critical,Pending,Email,Product A,Integration,Agent_12,2.12,11.58,
TKT-00090,2024-04-27 02:57:00,Bug Report,High,Pending,Chat,Product A,Documentation,Agent_7,6.28,46.7,
TKT-00091,2024-01-17 10:04:00,Billing Question,Critical,In Progress,Web Portal,Product E,Authentication,Agent_7,2.67,8.95,
TKT-00092,2024-09-20 07:17:00,General Inquiry,Critical,Open,Web Portal,Product B,Data Loss,Agent_14,0.85,9.4,
TKT-00093,2024-12-08 15:13:00,Account Access,Critical,Pending,Phone,Product E,UI/UX,Agent_8,2.78,14.63,
TKT-00094,2024-10-03 04:46:00,Technical Issue,Low,In Progress,Phone,Product A,Integration,Agent_12,52.55,130.08,
TKT-00095,2024-10-19 18:30:00,Billing Question,Medium,Closed,Chat,Product A,UI/UX,Agent_10,6.47,53.29,2.0
TKT-00096,2024-05-04 15:51:00,Bug Report,High,Open,Email,Product A,Data Loss,Agent_10,7.17,23.86,
TKT-00097,2024-07-27 06:06:00,Feature Request,Low,Pending,Email,Product E,UI/UX,Agent_12,47.27,58.68,
TKT-00098,2024-02-19 21:27:00,Bug Report,High,Resolved,Phone,Product B,Data Loss,Agent_9,3.08,44.73,5.0
TKT-00099,2024-06-30 13:26:00,Billing Question,Low,Open,Web Portal,Product D,Data Loss,Agent_5,12.74,141.37,
TKT-00100,2024-08-27 23:03:00,General Inquiry,Medium,Closed,Phone,Product E,Integration,Agent_1,18.84,34.54,2.0
TKT-00101,2024-12-10 20:41:00,Billing Question,Medium,Closed,Chat,Product B,Integration,Agent_8,16.67,81.46,2.0
TKT-00102,2024-02-20 01:25:00,Technical Issue,High,In Progress,Phone,Product A,Data Loss,Agent_7,10.41,21.85,
TKT-00103,2024-06-22 03:15:00,Technical Issue,Critical,Closed,Email,Product B,Documentation,Agent_8,3.67,5.96,4.0
TKT-00104,2024-04-08 06:34:00,Account Access,Low,Resolved,Chat,Product C,Payment,Agent_9,19.56,165.54,2.0
TKT-00105,2024-08-17 04:27:00,Feature Request,High,In Progress,Email,Product C,Data Loss,Agent_10,7.09,20.0,
TKT-00106,2024-04-03 08:29:00,General Inquiry,Critical,Closed,Chat,Product D,Authentication,Agent_12,1.74,23.04,3.0
TKT-00107,2024-05-07 02:28:00,General Inquiry,Medium,Pending,Web Portal,Product A,Integration,Agent_10,14.67,80.36,
TKT-00108,2024-10-08 03:03:00,Bug Report,Low,Open,Phone,Product D,Performance,Agent_15,49.25,62.82,
TKT-00109,2024-11-29 17:53:00,Feature Request,Medium,Resolved,Email,Product C,Integration,Agent_11,9.35,61.91,4.0
TKT-00110,2024-01-08 02:59:00,Bug Report,Low,Resolved,Chat,Product D,Data Loss,Agent_15,20.26,153.06,5.0
TKT-00111,2024-05-01 05:26:00,Feature Request,Critical,Resolved,Phone,Product C,Integration,Agent_14,0.65,15.78,4.0
TKT-00112,2024-09-05 15:13:00,Billing Question,Low,Pending,Email,Product C,Data Loss,Agent_14,19.66,144.82,
TKT-00113,2024-07-24 01:10:00,Billing Question,Critical,Closed,Web Portal,Product B,UI/UX,Agent_8,2.55,5.91,4.0
TKT-00114,2024-07-13 00:24:00,Feature Request,Low,Open,Chat,Product A,Performance,Agent_4,42.79,89.87,
TKT-00115,2024-05-15 14:18:00,Account Access,High,Open,Email,Product C,Documentation,Agent_12,8.52,32.6,
TKT-00116,2024-08-04 22:46:00,Billing Question,Medium,Pending,Email,Product A,Performance,Agent_1,12.44,44.3,
TKT-00117,2024-10-11 21:45:00,Account Access,Low,In Progress,Web Portal,Product D,Performance,Agent_9,47.02,80.53,
TKT-00118,2024-09-06 04:12:00,Billing Question,Low,Closed,Chat,Product D,Authentication,Agent_1,44.47,59.89,4.0
TKT-00119,2024-05-31 06:03:00,General Inquiry,Medium,Resolved,Phone,Product C,Authentication,Agent_7,8.62,27.45,3.0
TKT-00120,2024-10-23 23:34:00,Technical Issue,Low,In Progress,Email,Product A,Data Loss,Agent_10,40.17,86.16,
TKT-00121,2024-02-01 23:20:00,Technical Issue,Medium,Pending,Chat,Product C,Authentication,Agent_6,16.86,78.13,
TKT-00122,2024-01-30 01:37:00,General Inquiry,Critical,Closed,Chat,Product C,Payment,Agent_9,1.52,7.61,5.0
TKT-00123,2024-09-01 16:58:00,Feature Request,High,Closed,Web Portal,Product B,Documentation,Agent_2,11.7,41.02,4.0
TKT-00124,2024-09-28 05:03:00,Bug Report,High,Closed,Email,Product D,Performance,Agent_5,7.18,36.4,3.0
TKT-00125,2024-09-17 02:54:00,Technical Issue,Medium,In Progress,Phone,Product A,Performance,Agent_15,17.84,80.79,
TKT-00126,2024-04-05 02:38:00,Billing Question,High,In Progress,Email,Product D,Documentation,Agent_11,3.45,31.86,
TKT-00127,2024-02-04 21:55:00,Billing Question,Medium,Pending,Email,Product B,UI/UX,Agent_7,10.27,87.51,
TKT-00128,2024-04-30 12:07:00,Technical Issue,High,Resolved,Phone,Product E,Data Loss,Agent_15,10.19,26.5,4.0
TKT-00129,2024-10-18 07:37:00,Technical Issue,Low,In Progress,Chat,Product D,Authentication,Agent_8,45.57,119.08,
TKT-00130,2024-10-31 01:39:00,Bug Report,Low,Open,Email,Product B,Documentation,Agent_2,15.28,79.09,
TKT-00131,2024-02-11 13:42:00,Technical Issue,High,In Progress,Chat,Product D,UI/UX,Agent_8,5.44,36.72,
TKT-00132,2024-10-25 18:33:00,Feature Request,Critical,In Progress,Web Portal,Product A,Performance,Agent_10,3.92,18.26,
TKT-00133,2024-06-10 08:13:00,Bug Report,High,Closed,Chat,Product B,Integration,Agent_11,8.41,35.67,5.0
TKT-00134,2024-12-08 22:20:00,General Inquiry,Low,Open,Phone,Product E,Authentication,Agent_6,24.08,65.12,
TKT-00135,2024-05-02 08:25:00,General Inquiry,High,Resolved,Phone,Product D,Integration,Agent_8,2.68,32.43,4.0
TKT-00136,2024-03-08 21:41:00,Technical Issue,Low,Open,Web Portal,Product B,Performance,Agent_12,23.36,80.08,
TKT-00137,2024-06-02 14:20:00,Billing Question,Critical,Resolved,Chat,Product E,Performance,Agent_7,2.17,22.37,5.0
TKT-00138,2024-02-07 00:29:00,General Inquiry,Critical,Pending,Email,Product A,Integration,Agent_1,2.92,16.78,
TKT-00139,2024-11-14 18:06:00,Technical Issue,High,Closed,Web Portal,Product D,Performance,Agent_3,6.67,25.33,3.0
TKT-00140,2024-02-07 17:13:00,Feature Request,Low,Pending,Phone,Product C,Authentication,Agent_5,53.54,141.3,
TKT-00141,2024-09-16 08:08:00,Feature Request,Critical,In Progress,Chat,Product A,UI/UX,Agent_12,3.48,17.56,
TKT-00142,2024-06-27 02:56:00,Billing Question,Medium,In Progress,Phone,Product A,Payment,Agent_4,16.19,54.11,
TKT-00143,2024-05-05 11:18:00,Bug Report,High,Closed,Email,Product A,Payment,Agent_8,5.36,28.48,3.0
TKT-00144,2024-03-21 14:53:00,Billing Question,Medium,Pending,Web Portal,Product A,Payment,Agent_6,11.39,55.61,
TKT-00145,2024-10-05 22:19:00,Technical Issue,High,Open,Web Portal,Product E,UI/UX,Agent_8,5.29,24.74,
TKT-00146,2024-11-09 20:33:00,Billing Question,Low,Pending,Phone,Product C,Performance,Agent_4,18.29,104.24,
TKT-00147,2024-01-05 21:52:00,Bug Report,Low,Resolved,Web Portal,Product D,Data Loss,Agent_9,64.57,82.42,5.0
TKT-00148,2024-10-10 09:59:00,Account Access,Medium,In Progress,Chat,Product A,Authentication,Agent_4,22.39,92.59,
TKT-00149,2024-12-05 03:56:00,Billing Question,Low,Open,Chat,Product D,UI/UX,Agent_10,41.76,110.47,
TKT-00150,2024-03-09 08:07:00,General Inquiry,Low,In Progress,Phone,Product B,Authentication,Agent_15,67.2,134.22,
TKT-00151,2024-02-24 23:35:00,Bug Report,Low,Pending,Phone,Product A,Documentation,Agent_11,50.33,158.86,
TKT-00152,2024-03-20 08:18:00,Account Access,Medium,Closed,Web Portal,Product A,Performance,Agent_6,18.48,40.47,4.0
TKT-00153,2024-11-05 06:45:00,Bug Report,Low,Open,Phone,Product D,Authentication,Agent_15,39.99,124.28,
TKT-00154,2024-06-24 06:43:00,Bug Report,Critical,Closed,Chat,Product C,Performance,Agent_10,1.25,5.74,5.0
TKT-00155,2024-11-20 08:32:00,General Inquiry,High,Pending,Email,Product B,Payment,Agent_14,6.81,23.0,
TKT-00156,2024-09-07 08:57:00,Account Access,Critical,Resolved,Chat,Product C,Authentication,Agent_14,3.19,19.41,5.0
TKT-00157,2024-01-27 02:40:00,Billing Question,Medium,Closed,Web Portal,Product D,Data Loss,Agent_12,20.66,84.86,2.0
TKT-00158,2024-08-04 08:02:00,Account Access,Medium,Closed,Phone,Product E,Performance,Agent_11,20.53,69.7,3.0
TKT-00159,2024-01-02 10:49:00,Billing Question,Low,Pending,Phone,Product A,Authentication,Agent_8,34.55,57.2,
TKT-00160,2024-03-07 20:16:00,General Inquiry,Critical,Open,Phone,Product E,Integration,Agent_3,1.9,8.8,
TKT-00161,2024-03-23 23:28:00,Bug Report,Medium,Pending,Web Portal,Product D,UI/UX,Agent_15,20.87,30.74,
TKT-00162,2024-10-09 22:27:00,Billing Question,High,Closed,Email,Product D,Documentation,Agent_5,2.07,32.71,4.0
TKT-00163,2024-10-14 00:07:00,Feature Request,Medium,In Progress,Web Portal,Product D,Integration,Agent_12,6.18,30.09,
TKT-00164,2024-02-08 22:57:00,Account Access,Critical,In Progress,Chat,Product D,Data Loss,Agent_12,1.75,9.72,
TKT-00165,2024-03-17 17:02:00,Account Access,High,Closed,Email,Product A,Data Loss,Agent_7,7.55,45.47,5.0
TKT-00166,2024-07-08 18:35:00,Technical Issue,High,Open,Phone,Product E,Integration,Agent_7,3.42,41.1,
TKT-00167,2024-03-16 13:08:00,Bug Report,Low,Closed,Chat,Product B,Performance,Agent_14,38.42,49.28,4.0
TKT-00168,2024-01-22 09:23:00,Bug Report,High,In Progress,Phone,Product A,Authentication,Agent_11,8.31,46.14,
TKT-00169,2024-01-21 11:13:00,General Inquiry,Low,Resolved,Email,Product D,UI/UX,Agent_11,66.76,129.24,1.0
TKT-00170,2024-12-15 07:42:00,Billing Question,Low,Closed,Web Portal,Product D,Integration,Agent_12,33.59,159.89,4.0
TKT-00171,2024-02-22 11:49:00,General Inquiry,Medium,Closed,Chat,Product A,Data Loss,Agent_6,23.56,33.82,3.0
TKT-00172,2024-10-13 13:39:00,General Inquiry,Medium,Resolved,Web Portal,Product E,Authentication,Agent_13,9.58,59.84,2.0
TKT-00173,2024-03-20 07:55:00,Feature Request,Low,Open,Chat,Product E,Performance,Agent_8,29.05,130.21,
TKT-00174,2024-03-24 05:56:00,Bug Report,Critical,Pending,Phone,Product C,Integration,Agent_13,1.27,17.54,
TKT-00175,2024-07-30 00:11:00,Feature Request,Low,In Progress,Phone,Product C,Data Loss,Agent_14,27.72,111.89,
TKT-00176,2024-06-19 13:51:00,Technical Issue,Critical,In Progress,Web Portal,Product C,Integration,Agent_3,1.11,6.49,
TKT-00177,2024-12-08 23:51:00,Account Access,High,Pending,Phone,Product D,Performance,Agent_10,10.48,12.5,
TKT-00178,2024-05-07 08:10:00,General Inquiry,High,Pending,Email,Product A,Data Loss,Agent_4,4.46,18.85,
TKT-00179,2024-12-25 03:24:00,General Inquiry,High,Pending,Email,Product A,Authentication,Agent_5,3.96,41.93,
TKT-00180,2024-01-20 15:14:00,Feature Request,Low,Pending,Email,Product C,Documentation,Agent_12,22.56,48.87,
TKT-00181,2024-04-12 14:22:00,Bug Report,Critical,In Progress,Email,Product E,Integration,Agent_12,1.42,12.5,
TKT-00182,2024-06-05 07:14:00,Account Access,Low,Closed,Chat,Product C,Authentication,Agent_2,18.07,112.12,4.0
TKT-00183,2024-01-13 21:12:00,General Inquiry,High,Closed,Chat,Product A,UI/UX,Agent_11,10.31,24.42,4.0
TKT-00184,2024-07-23 10:17:00,Feature Request,Medium,Resolved,Email,Product D,UI/UX,Agent_8,8.47,95.58,4.0
TKT-00185,2024-02-05 08:22:00,Feature Request,High,Closed,Chat,Product C,Payment,Agent_3,8.55,35.8,5.0
TKT-00186,2024-11-24 16:25:00,Billing Question,High,Open,Email,Product B,Performance,Agent_3,10.85,45.14,
TKT-00187,2024-12-13 17:21:00,Account Access,Medium,Open,Web Portal,Product B,Integration,Agent_4,12.09,95.94,
TKT-00188,2024-01-15 03:56:00,Feature Request,Critical,Pending,Chat,Product E,Data Loss,Agent_3,1.24,22.9,
TKT-00189,2024-05-13 05:37:00,Billing Question,High,Resolved,Email,Product A,Documentation,Agent_10,6.56,36.63,3.0
TKT-00190,2024-05-15 01:06:00,Bug Report,Critical,In Progress,Email,Product D,Documentation,Agent_8,1.79,4.85,
TKT-00191,2024-11-01 13:22:00,Feature Request,Medium,Closed,Web Portal,Product B,UI/UX,Agent_2,12.7,56.3,3.0
TKT-00192,2024-06-09 13:38:00,Billing Question,Medium,Closed,Web Portal,Product C,Performance,Agent_13,9.08,36.13,5.0
TKT-00193,2024-09-18 03:24:00,Billing Question,Medium,In Progress,Phone,Product D,Payment,Agent_7,15.48,90.97,
TKT-00194,2024-10-22 06:16:00,Account Access,Low,Open,Email,Product A,Data Loss,Agent_8,59.94,139.65,
TKT-00195,2024-01-23 22:27:00,General Inquiry,Critical,Pending,Phone,Product C,Performance,Agent_5,2.68,22.08,
TKT-00196,2024-01-01 16:59:00,Billing Question,Low,Resolved,Chat,Product D,Performance,Agent_4,38.02,68.98,1.0
TKT-00197,2024-10-02 21:46:00,Feature Request,Medium,Open,Email,Product A,Integration,Agent_4,18.8,50.43,
TKT-00198,2024-12-09 06:23:00,Technical Issue,High,Resolved,Email,Product D,Payment,Agent_9,3.18,16.8,3.0
TKT-00199,2024-08-08 02:42:00,Bug Report,Low,Pending,Chat,Product B,Integration,Agent_1,64.96,90.39,
TKT-00200,2024-06-18 19:20:00,Feature Request,High,Closed,Web Portal,Product B,UI/UX,Agent_1,3.31,13.83,2.0
TKT-00201,2024-12-05 03:46:00,Feature Request,Low,Pending,Email,Product A,Documentation,Agent_6,23.38,107.46,
TKT-00202,2024-06-02 16:19:00,Bug Report,Critical,Open,Web Portal,Product B,Documentation,Agent_15,2.36,7.41,
TKT-00203,2024-12-07 13:20:00,Bug Report,High,Closed,Email,Product A,Authentication,Agent_5,8.94,46.91,4.0
TKT-00204,2024-07-25 22:18:00,Billing Question,Low,Pending,Phone,Product E,Documentation,Agent_6,31.08,88.56,
TKT-00205,2024-10-10 04:12:00,Feature Request,Medium,Closed,Web Portal,Product B,Documentation,Agent_11,13.73,72.89,2.0
TKT-00206,2024-08-03 21:24:00,Billing Question,Medium,Closed,Phone,Product D,Data Loss,Agent_3,17.45,83.88,3.0
TKT-00207,2024-12-12 23:57:00,Account Access,Critical,Resolved,Email,Product D,Payment,Agent_3,3.72,21.02,4.0
TKT-00208,2024-03-30 19:36:00,Billing Question,Critical,Resolved,Phone,Product A,Performance,Agent_14,3.17,21.16,3.0
TKT-00209,2024-06-03 12:35:00,Account Access,Low,Open,Email,Product E,Performance,Agent_14,47.24,82.81,
TKT-00210,2024-01-01 09:18:00,General Inquiry,Medium,Pending,Email,Product C,Authentication,Agent_15,21.38,58.78,
TKT-00211,2024-04-17 13:50:00,Technical Issue,High,In Progress,Phone,Product D,Performance,Agent_9,4.94,21.53,
TKT-00212,2024-10-23 19:41:00,Feature Request,Low,Pending,Email,Product E,Data Loss,Agent_1,20.91,48.27,
TKT-00213,2024-06-13 14:28:00,Account Access,Low,Closed,Chat,Product D,Integration,Agent_13,26.83,123.74,4.0
TKT-00214,2024-08-14 21:13:00,Technical Issue,Medium,Open,Email,Product A,Documentation,Agent_2,17.33,52.34,
TKT-00215,2024-09-18 15:50:00,Bug Report,Critical,Open,Email,Product A,Payment,Agent_6,1.48,22.46,
TKT-00216,2024-03-27 21:05:00,General Inquiry,High,In Progress,Chat,Product C,Data Loss,Agent_7,3.26,45.45,
TKT-00217,2024-05-25 16:42:00,Billing Question,Critical,Closed,Web Portal,Product A,UI/UX,Agent_2,2.28,23.18,5.0
TKT-00218,2024-11-20 19:21:00,Technical Issue,Low,Closed,Chat,Product C,Authentication,Agent_10,47.04,109.86,3.0
TKT-00219,2024-02-17 07:43:00,Account Access,Low,Open,Chat,Product A,UI/UX,Agent_4,41.34,155.21,
